platform_product_id,platform_marketplace_id,product_title,currency,buy_box_price,buy_box_seller,manufacturer_name,brand,model_number,upc,part_number,ratings_count,average_rating,listing_url,image_url,seller_url
B0CNKDZ384,AMAZON-US,"Portable Blender,MoKo 300W Portable Blender for Shakes and Smoothies,28 oz Personal Blender,Smoothie Blender with 6 Blades,BPA Free,USB Rechargeable,Handle and Straw Lid, Blender for Anywhere, Black",USD,39.99,BSCstore,MoKo,MoKo,P840401404829,,,"1,066",4.4,https://www.amazon.com/Portable-MoKo-Smoothies-Personal-Rechargeable/dp/B0CNKDZ384/,https://m.media-amazon.com/images/I/71gGciSPa-L.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2VT4H683M5NNA&asin=B0CNKDZ384&ref_=dp_merchant_link&isAmazonFulfilled=1
B0BHDGDNMM,AMAZON-US,"-4 PACK- 28 oz Shaker Cups for Protein Mixes, BPA-Free & Dishwasher Safe, 4 large Blender Shaker Bottle Pack",USD,23.99,diliqua,diliqua,diliqua,Diliqua,,,526,4.5,https://www.amazon.com/diliqua-Bottles-Protein-BPA-Free-Dishwasher/dp/B0BHDGDNMM/,https://m.media-amazon.com/images/I/71V8xtlsmdL.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A4YRPLLGH9Q4Y&asin=B0BHDGDNMM&ref_=dp_merchant_link&isAmazonFulfilled=1
B09CJY79LX,AMAZON-US,"BlenderBottle Justice League Strada Shaker Cup Insulated Stainless Steel Water Bottle with Wire Whisk, 24-Ounce, Batman",USD,34.99,Amazon.com,BlenderBottle,BlenderBottle,C05182,,C05182,607,4.8,https://www.amazon.com/BlenderBottle-Justice-Insulated-Stainless-24-Ounce/dp/B09CJY79LX/,https://m.media-amazon.com/images/I/91UHT8vdJeL.jpg,https://www.amazon.com
B0CNPPNFPT,AMAZON-US,"-4 PACK- 20 OZ Protein Shaker Bottles for Protein Mixes, Shaker Cups for Protein Shakes, Small shaker Bottle Pack, Shaker Cup, Blender bottles, Shakers for Protein Shakes",USD,16.99,VELOMIX,VELOMIX,VELOMIX,012,,,49,4.7,https://www.amazon.com/VELOMIX-Protein-Bottles-Blender-bottles/dp/B0CNPPNFPT/,https://m.media-amazon.com/images/I/71hW275R6dL.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A3E9O8X0XUH715&asin=B0CNPPNFPT&ref_=dp_merchant_link&isAmazonFulfilled=1
B099QXTV3P,AMAZON-US,diliqua -10 PACK- Shaker Bottles for Protein Mixes | BPA-Free & Dishwasher Safe | 5 Large 28 oz & 5 20 oz small protein shaker bottle | Shaker Cups for protein shakes | Blender Shaker Bottle Pack,USD,29.79,diliqua,diliqua,diliqua,10pack new1,,,"1,909",4.5,https://www.amazon.com/Protein-Shaker-Bottles-Blender-Diliqua/dp/B099QXTV3P/,https://m.media-amazon.com/images/I/81dwohSUCjL.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A4YRPLLGH9Q4Y&asin=B099QXTV3P&ref_=dp_merchant_link&isAmazonFulfilled=1
B0C9P1YH2N,AMAZON-US,"Reebok Shaker Bottle With Athletic Design - Shaker Bottles 17oz - Protein Shaker Bottle - Shaker Bottles For Gym, Running, Hiking etc - BPA Free (Black)",USD,7.49,Prime Shipping,iWorld LLC,Reebok,RBHP-1001-BK,,RBHP-1001-BK,36,3.9,https://www.amazon.com/Reebok-Shaker-Bottle-Athletic-Design/dp/B0C9P1YH2N/,https://m.media-amazon.com/images/I/71YvH4iGmDL.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1BLNA8WAHA5Q0&asin=B0C9P1YH2N&ref_=dp_merchant_link&isAmazonFulfilled=1
B0BTBY5NLM,AMAZON-US,"Portable Blender 20 Oz, Personal Size Blender for Shakes and Smoothies with 6 Blades, Mini Small Smoothie Blender Bottles for Kitchen, Home, Travel (Blue)",USD,31.99,SHUNSHI Official US Store,,SHUNSHI,,,,"2,076",3.9,https://www.amazon.com/Portable-Blender-Personal-Smoothies-Kitchen/dp/B0BTBY5NLM/,https://m.media-amazon.com/images/I/71tIOHsUE2L.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1BW3PIUITXBYH&asin=B0BTBY5NLM&ref_=dp_merchant_link&isAmazonFulfilled=1
B0CF7YG3SR,AMAZON-US,"BlenderBottle Classic V2 Shaker Bottle Perfect for Protein Shakes and Pre Workout, 45oz, Full Color Tan",USD,14.99,Amazon.com,BlenderBottle,Blender Bottle,C06367,,,22,4.9,https://www.amazon.com/BlenderBottle-Classic-Bottle-Perfect-Protein/dp/B0CF7YG3SR/,https://m.media-amazon.com/images/I/71TC45h4C4L.jpg,https://www.amazon.com
B0CVXN825H,AMAZON-US,"Portable Blender, Smoothie Maker Blender with 6 Ultra-sharp Blades, Personal Blender for Shakes and Smoothies Baby Food, 20 Oz Mini Blender with Travel Lid & Cleaning Brush for Home Travel Work(600ML)",USD,39.77,UPMSX,,UPMSX,ZZJ-1008,,,384,5.0,https://www.amazon.com/Portable-Smoothie-Ultra-sharp-Personal-Smoothies/dp/B0CVXN825H/,https://m.media-amazon.com/images/I/71obniicYeL.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A1FQN3ODMOLO7V&asin=B0CVXN825H&ref_=dp_merchant_link&isAmazonFulfilled=1
B0BZW5TWZQ,AMAZON-US,"Portable Blender 20 Oz, Personal Size Blender for Shakes and Smoothies with 6 Blades, Mini Small Smoothie Blender Bottles for Kitchen, Home, Travel (Black)",USD,26.99,Fuyixing,,Fsinnsuzi,A9,,,334,3.8,https://www.amazon.com/Portable-Smoothies-Rechargeable-Stainless-Steel-Powerfulr/dp/B0BZW5TWZQ/,https://m.media-amazon.com/images/I/71wlsWVcJXL.jpg,https://www.amazon.com/gp/help/seller/at-a-glance.html/ref=dp_merchant_link?ie=UTF8&seller=A2F5DBCI8YICAR&asin=B0BZW5TWZQ&ref_=dp_merchant_link&isAmazonFulfilled=1
